"occurence_count"	"ingredients"
"perciatelli"	1	"perciatelli"
"perilla"	1	"perilla"
"perrin"	1	"perrin"
"persian"	1	"persian"
"pete"	1	"pete"
"petral"	1	"petral"
"pheasant"	1	"pheasant"
"pho"	1	"pho"
"phoran"	1	"phoran"
"piccolini"	1	"piccolini"
"pickapeppa"	1	"pickapeppa"
"picnic"	1	"picnic"
"pico"	1	"pico"
"pierogi"	1	"pierogi"
"pigeon"	1	"pigeon"
"pignoli"	1	"pignoli"
"pike"	1	"pike"
"pilaf"	1	"pilaf"
"piloncillo"	1	"piloncillo"
"pilsner"	1	"pilsner"
"pina"	1	"pina"
"pine"	1	"pine"
"pinenut"	1	"pinenut"
"pinhead"	1	"pinhead"
"piquillo"	1	"piquillo"
"piquin"	1	"piquin"
"piripiri"	1	"piripiri"
"pistou"	1	"pistou"
"pla"	1	"pla"
"ploy"	1	"ploy"
"poha"	1	"poha"
"poir"	1	"poir"
"polish"	1	"polish"
"pollen"	1	"pollen"
"pollock"	1	"pollock"
"pomelo"	1	"pomelo"
"pompano"	1	"pompano"
"pompeian"	1	"pompeian"
"ponzu"	1	"ponzu"
"poolish"	1	"poolish"
"poppadom"	1	"poppadom"
"poppyse"	1	"poppyse"
"porridg"	1	"porridg"
"portabello"	1	"portabello"
"porter"	1	"porter"
"porterhous"	1	"porterhous"
"portugues"	1	"portugues"
"posol"	1	"posol"
"potstick"	1	"potstick"
"poundcak"	1	"poundcak"
"pour"	1	"pour"
"poussin"	1	"poussin"
"pozol"	1	"pozol"
"prebak"	1	"prebak"
"precook"	1	"precook"
"premium"	1	"premium"
"preshr"	1	"preshr"
"press"	1	"press"
"pretzel"	1	"pretzel"
"prik"	1	"prik"
"primavera"	1	"primavera"
"prime"	1	"prime"
"proactiv"	1	"proactiv"
"progressoâ„"	1	"progressoâ„"
"promis"	1	"promis"
"provenc"	1	"provenc"
"psyllium"	1	"psyllium"
"puf"	1	"puf"
"pullman"	1	"pullman"
"pulp"	1	"pulp"
"pummelo"	1	"pummelo"
"purpo"	1	"purpo"
"qua"	1	"qua"
"quahog"	1	"quahog"
"quatr"	1	"quatr"
"rabbit"	1	"rabbit"
"rabe"	1	"rabe"
"raclett"	1	"raclett"
"raguâ"	1	"raguâ"
"rainbow"	1	"rainbow"
"rais"	1	"rais"
"raita"	1	"raita"
"rajma"	1	"rajma"
"raki"	1	"raki"
"ramp"	1	"ramp"
"ranchstyl"	1	"ranchstyl"
"rape"	1	"rape"
"rapese"	1	"rapese"
"rapid"	1	"rapid"
"ras"	1	"ras"
"ratatouill"	1	"ratatouill"
"ravva"	1	"ravva"
"razor"	1	"razor"
"readi"	1	"readi"
"readymad"	1	"readymad"
"reblochon"	1	"reblochon"
"redcurr"	1	"redcurr"
"redhotâ"	1	"redhotâ"
"reduct"	1	"reduct"
"refin"	1	"refin"
"rennet"	1	"rennet"
"reposado"	1	"reposado"
"rhubarb"	1	"rhubarb"
"riblet"	1	"riblet"
"ricard"	1	"ricard"
"riesl"	1	"riesl"
"rioja"	1	"rioja"
"ripen"	1	"ripen"
"riso"	1	"riso"
"ritz"	1	"ritz"
"road"	1	"road"
"robert"	1	"robert"
"robiola"	1	"robiola"
"robusto"	1	"robusto"
"robustoâ"	1	"robustoâ"
"rocket"	1	"rocket"
"rockfish"	1	"rockfish"
"roma"	1	"roma"
"romana"	1	"romana"
"romanesco"	1	"romanesco"
"rome"	1	"rome"
"rooster"	1	"rooster"
"rosa"	1	"rosa"
"rosewat"	1	"rosewat"
"rotell"	1	"rotell"
"roti"	1	"roti"
"rotisseri"	1	"rotisseri"
"rouill"	1	"rouill"
"runni"	1	"runni"
"rusk"	1	"rusk"
"russian"	1	"russian"
"rutabaga"	1	"rutabaga"
"saba"	1	"saba"
"sablefish"	1	"sablefish"
"sack"	1	"sack"
"saigon"	1	"saigon"
"sake"	1	"sake"
"saki"	1	"saki"
"saladâ"	1	"saladâ"
"salsifi"	1	"salsifi"
"saltpet"	1	"saltpet"
"sambuca"	1	"sambuca"
"samphir"	1	"samphir"
"sand"	1	"sand"
"sangioves"	1	"sangioves"
"sansho"	1	"sansho"
"santo"	1	"santo"
"sardi"	1	"sardi"
"sato"	1	"sato"
"sautern"	1	"sautern"
"savoiardi"	1	"savoiardi"
"scallopini"	1	"scallopini"
"scape"	1	"scape"
"scone"	1	"scone"
"sec"	1	"sec"
"seca"	1	"seca"
"secret"	1	"secret"
"secretsâ"	1	"secretsâ"
"section"	1	"section"
"seitan"	1	"seitan"
"sel"	1	"sel"
"semisoft"	1	"semisoft"
"serv"	1	"serv"
"sesameging"	1	"sesameging"
"seven"	1	"seven"
"shahi"	1	"shahi"
"shao"	1	"shao"
"shape"	1	"shape"
"sheepâ€™"	1	"sheepâ€™"
"sheepshead"	1	"sheepshead"
"shellfish"	1	"shellfish"
"shellon"	1	"shellon"
"shichimi"	1	"shichimi"
"shimeji"	1	"shimeji"
"shin"	1	"shin"
"shirataki"	1	"shirataki"
"shiraz"	1	"shiraz"
"shiro"	1	"shiro"
"shiromiso"	1	"shiromiso"
"shishito"	1	"shishito"
"shoepeg"	1	"shoepeg"
"shortcak"	1	"shortcak"
"shortcrust"	1	"shortcrust"
"shortgrain"	1	"shortgrain"
"shungiku"	1	"shungiku"
"sichuanes"	1	"sichuanes"
"sicilian"	1	"sicilian"
"simpl"	1	"simpl"
"skippi"	1	"skippi"
"skirt"	1	"skirt"
"slab"	1	"slab"
"slim"	1	"slim"
"sloe"	1	"sloe"
"smart"	1	"smart"
"smith"	1	"smith"
"smithfield"	1	"smithfield"
"smooth"	1	"smooth"
"snap"	1	"snap"
"snip"	1	"snip"
"soak"	1	"soak"
"sobrasada"	1	"sobrasada"
"sockey"	1	"sockey"
"sofrito"	1	"sofrito"
"softboil"	1	"softboil"
"softwheat"	1	"softwheat"
"soi"	1	"soi"
"somen"	1	"somen"
"sooji"	1	"sooji"
"soppressata"	1	"soppressata"
"sorrel"	1	"sorrel"
"souchong"	1	"souchong"
"soursop"	1	"soursop"
"soybas"	1	"soybas"
"soymilk"	1	"soymilk"
"spam"	1	"spam"
"spare"	1	"spare"
"spearmint"	1	"spearmint"
"special"	1	"special"
"speck"	1	"speck"
"spike"	1	"spike"
"spini"	1	"spini"
"spiral"	1	"spiral"
"sport"	1	"sport"
"spot"	1	"spot"
"spreadabl"	1	"spreadabl"
"sprite"	1	"sprite"
"spumant"	1	"spumant"
"squab"	1	"squab"
"squirt"	1	"squirt"
"sriracha"	1	"sriracha"
"stand"	1	"stand"
"star"	1	"star"
"starchi"	1	"starchi"
"starter"	1	"starter"
"steamer"	1	"steamer"
"stellett"	1	"stellett"
"sticker"	1	"sticker"
"sticki"	1	"sticki"
"stolichnaya"	1	"stolichnaya"
"stoneground"	1	"stoneground"
"storebought"	1	"storebought"
"stout"	1	"stout"
"straight"	1	"straight"
"strain"	1	"strain"
"straw"	1	"straw"
"stripe"	1	"stripe"
"strong"	1	"strong"
"strozzapreti"	1	"strozzapreti"
"submarin"	1	"submarin"
"sucanat"	1	"sucanat"
"success"	1	"success"
"suckl"	1	"suckl"
"sucrolos"	1	"sucrolos"
"suet"	1	"suet"
"sultana"	1	"sultana"
"sum"	1	"sum"
"sunchok"	1	"sunchok"
"sunda"	1	"sunda"
"superior"	1	"superior"
"swede"	1	"swede"
"sweetbread"	1	"sweetbread"
"swerv"	1	"swerv"
"syd"	1	"syd"
"szechuan"	1	"szechuan"
"szechwan"	1	"szechwan"
"tabascoâ"	1	"tabascoâ"
"tagliarini"	1	"tagliarini"
"taiwanes"	1	"taiwanes"
"taleggio"	1	"taleggio"
"tallow"	1	"tallow"
"tangelo"	1	"tangelo"
"tangzhong"	1	"tangzhong"
"tap"	1	"tap"
"tapatio"	1	"tapatio"
"tarama"	1	"tarama"
"tartlet"	1	"tartlet"
"tasso"	1	"tasso"
"tast"	1	"tast"
"tawni"	1	"tawni"
"tbone"	1	"tbone"
"teardrop"	1	"teardrop"
"teff"	1	"teff"
"telem"	1	"telem"
"tempeh"	1	"tempeh"
"tempura"	1	"tempura"
"tendon"	1	"tendon"
"tentacl"	1	"tentacl"
"teriyakiâ"	1	"teriyakiâ"
"terrin"	1	"terrin"
"tex"	1	"tex"
"texmex"	1	"texmex"
"textur"	1	"textur"
"thickcut"	1	"thickcut"
"thicken"	1	"thicken"
"third"	1	"third"
"thousand"	1	"thousand"
"tipo"	1	"tipo"
"tobiko"	1	"tobiko"
"tokyo"	1	"tokyo"
"tom"	1	"tom"
"tomat"	1	"tomat"
"toni"	1	"toni"
"tonic"	1	"tonic"
"tonkatsu"	1	"tonkatsu"
"toor"	1	"toor"
"topsid"	1	"topsid"
"torn"	1	"torn"
"torpedo"	1	"torpedo"
"tortelloni"	1	"tortelloni"
"tostito"	1	"tostito"
"toulous"	1	"toulous"
"tradicion"	1	"tradicion"
"tri"	1	"tri"
"tricolor"	1	"tricolor"
"tripl"	1	"tripl"
"triscuit"	1	"triscuit"
"trotter"	1	"trotter"
"true"	1	"true"
"trumpet"	1	"trumpet"
"tsuyu"	1	"tsuyu"
"tubetti"	1	"tubetti"
"tubettini"	1	"tubettini"
"tuong"	1	"tuong"
"tupelo"	1	"tupelo"
"turbinado"	1	"turbinado"
"turkei"	1	"turkei"
"turkish"	1	"turkish"
"tuscan"	1	"tuscan"
"tuttorosso"	1	"tuttorosso"
"tvp"	1	"tvp"
"tyson"	1	"tyson"
"tzatziki"	1	"tzatziki"
"ulek"	1	"ulek"
"ume"	1	"ume"
"unagi"	1	"unagi"
"unhul"	1	"unhul"
"uni"	1	"uni"
"unseason"	1	"unseason"
"unsmok"	1	"unsmok"
"unsulphur"	1	"unsulphur"
"usukuchi"	1	"usukuchi"
"vadouvan"	1	"vadouvan"
"val"	1	"val"
"valencia"	1	"valencia"
"varieti"	1	"varieti"
"varnish"	1	"varnish"
"vegeta"	1	"vegeta"
"vegetablefil"	1	"vegetablefil"
"velvet"	1	"velvet"
"vera"	1	"vera"
"verbena"	1	"verbena"
"verjuic"	1	"verjuic"
"verjus"	1	"verjus"
"vert"	1	"vert"
"viand"	1	"viand"
"victoria"	1	"victoria"
"vie"	1	"vie"
"vin"	1	"vin"
"vindaloo"	1	"vindaloo"
"vineyard"	1	"vineyard"
"violet"	1	"violet"
"virginia"	1	"virginia"
"vital"	1	"vital"
"vitamin"	1	"vitamin"
"wakam"	1	"wakam"
"wasab"	1	"wasab"
"wax"	1	"wax"
"waxi"	1	"waxi"
"weed"	1	"weed"
"wensleydal"	1	"wensleydal"
"wheatberri"	1	"wheatberri"
"whey"	1	"whey"
"whiteâ"	1	"whiteâ"
"wholem"	1	"wholem"
"wholemilk"	1	"wholemilk"
"wholesom"	1	"wholesom"
"wiener"	1	"wiener"
"wildflow"	1	"wildflow"
"william"	1	"william"
"winesap"	1	"winesap"
"wingett"	1	"wingett"
"wishboneâ"	1	"wishboneâ"
"wok"	1	"wok"
"woksaus"	1	"woksaus"
"wolf"	1	"wolf"
"wolfberri"	1	"wolfberri"
"xanthan"	1	"xanthan"
"xuxu"	1	"xuxu"
"yakinori"	1	"yakinori"
"yakisoba"	1	"yakisoba"
"yardlong"	1	"yardlong"
"yoplait"	1	"yoplait"
"yuca"	1	"yuca"
"yum"	1	"yum"
"yuzukosho"	1	"yuzukosho"
"zaatar"	1	"zaatar"
"zatarain"	1	"zatarain"
"zatarainâ€™"	1	"zatarainâ€™"
"zero"	1	"zero"
"aãai"	2	"aãai"
"acai"	2	"acai"
"accent"	2	"accent"
"activ"	2	"activ"
"ahi"	2	"ahi"
"alaskan"	2	"alaskan"
"albacor"	2	"albacor"
"alcohol"	2	"alcohol"
"aleppo"	2	"aleppo"
"allpurpos"	2	"allpurpos"
"amaretti"	2	"amaretti"
"amaretto"	2	"amaretto"
"amber"	2	"amber"
"anjou"	2	"anjou"
"applesauc"	2	"applesauc"
"arborio"	2	"arborio"
"arhar"	2	"arhar"
"arugula"	2	"arugula"
"asadero"	2	"asadero"
"asafoetida"	2	"asafoetida"
"bacardiâ"	2	"bacardiâ"
"bagel"	2	"bagel"
"balm"	2	"balm"
"bamboo"	2	"bamboo"
"banh"	2	"banh"
"bbq"	2	"bbq"
"bellâ"	2	"bellâ"
"bicarbon"	2	"bicarbon"
"bihon"	2	"bihon"
"bird"	2	"bird"
"blacken"	2	"blacken"
"blade"	2	"blade"
"borlotti"	2	"borlotti"
"bragg"	2	"bragg"
"brais"	2	"brais"
"brand"	2	"brand"
"branzino"	2	"branzino"
"brat"	2	"brat"
"brine"	2	"brine"
"brinecur"	2	"brinecur"
"broad"	2	"broad"
"broiler"	2	"broiler"
"broilerfry"	2	"broilerfry"
"bulgur"	2	"bulgur"
"butterâ"	2	"butterâ"
"butternut"	2	"butternut"
"button"	2	"button"
"caesar"	2	"caesar"
"calamansi"	2	"calamansi"
"calamari"	2	"calamari"
"cannellini"	2	"cannellini"
"cannelloni"	2	"cannelloni"
"canton"	2	"canton"
"capsicum"	2	"capsicum"
"cara"	2	"cara"
"carcass"	2	"carcass"
"carnat"	2	"carnat"
"carpaccio"	2	"carpaccio"
"cassi"	2	"cassi"
"catfish"	2	"catfish"
"chambord"	2	"chambord"
"channa"	2	"channa"
"chervil"	2	"chervil"
"chill"	2	"chill"
"cholesterol"	2	"cholesterol"
"cipollini"	2	"cipollini"
"citric"	2	"citric"
"citron"	2	"citron"
"classico"	2	"classico"
"claw"	2	"claw"
"cloud"	2	"cloud"
"codfish"	2	"codfish"
"cointreau"	2	"cointreau"
"cola"	2	"cola"
"comfort"	2	"comfort"
"compot"	2	"compot"
"con"	2	"con"
"confection"	2	"confection"
"confit"	2	"confit"
"conimex"	2	"conimex"
"consomm"	2	"consomm"
"cotija"	2	"cotija"
"cover"	2	"cover"
"crack"	2	"crack"
"creamer"	2	"creamer"
"cremini"	2	"cremini"
"cress"	2	"cress"
"crock"	2	"crock"
"croissant"	2	"croissant"
"cuervo"	2	"cuervo"
"curaãao"	2	"curaãao"
"cuttlefish"	2	"cuttlefish"
"daikon"	2	"daikon"
"dandelion"	2	"dandelion"
"daniel"	2	"daniel"
"dash"	2	"dash"
"dean"	2	"dean"
"delallo"	2	"delallo"
"delici"	2	"delici"
"despelett"	2	"despelett"
"devil"	2	"devil"
"diet"	2	"diet"
"dillwe"	2	"dillwe"
"ditalini"	2	"ditalini"
"domino"	2	"domino"
"dorito"	2	"dorito"
"drum"	2	"drum"
"drummett"	2	"drummett"
"earl"	2	"earl"
"earth"	2	"earth"
"edibl"	2	"edibl"
"elbow"	2	"elbow"
"elmlea"	2	"elmlea"
"european"	2	"european"
"fajita"	2	"fajita"
"famili"	2	"famili"
"farro"	2	"farro"
"fava"	2	"fava"
"fern"	2	"fern"
"fideo"	2	"fideo"
"field"	2	"field"
"filo"	2	"filo"
"fingerl"	2	"fingerl"
"fisher"	2	"fisher"
"fivespic"	2	"fivespic"
"flank"	2	"flank"
"flaxse"	2	"flaxse"
"foie"	2	"foie"
"fontina"	2	"fontina"
"fraãch"	2	"fraãch"
"frank"	2	"frank"
"freerang"	2	"freerang"
"fresca"	2	"fresca"
"fresco"	2	"fresco"
"fresno"	2	"fresno"
"frond"	2	"frond"
"fryer"	2	"fryer"
"fuji"	2	"fuji"
"fungus"	2	"fungus"
"furikak"	2	"furikak"
"fusilli"	2	"fusilli"
"gai"	2	"gai"
"germ"	2	"germ"
"gherkin"	2	"gherkin"
"giant"	2	"giant"
"giblet"	2	"giblet"
"ginseng"	2	"ginseng"
"glace"	2	"glace"
"glucos"	2	"glucos"
"gnocchi"	2	"gnocchi"
"gourd"	2	"gourd"
"grade"	2	"grade"
"grana"	2	"grana"
"gras"	2	"gras"
"grassf"	2	"grassf"
"greater"	2	"greater"
"greekstyl"	2	"greekstyl"
"grenadin"	2	"grenadin"
"grey"	2	"grey"
"guava"	2	"guava"
"guin"	2	"guin"
"guy"	2	"guy"
"hamachi"	2	"hamachi"
"haricot"	2	"haricot"
"havarti"	2	"havarti"
"hawaiian"	2	"hawaiian"
"hemp"	2	"hemp"
"herring"	2	"herring"
"hog"	2	"hog"
"hoja"	2	"hoja"
"home"	2	"home"
"homestyl"	2	"homestyl"
"honeydew"	2	"honeydew"
"husk"	2	"husk"
"ibarra"	2	"ibarra"
"iceberg"	2	"iceberg"
"imo"	2	"imo"
"indian"	2	"indian"
"jameson"	2	"jameson"
"jarlsberg"	2	"jarlsberg"
"jeera"	2	"jeera"
"johnsonvilleâ"	2	"johnsonvilleâ"
"jose"	2	"jose"
"jujub"	2	"jujub"
"kaffir"	2	"kaffir"
"kahlua"	2	"kahlua"
"katsuo"	2	"katsuo"
"key"	2	"key"
"kim"	2	"kim"
"kimchi"	2	"kimchi"
"kipper"	2	"kipper"
"kumquat"	2	"kumquat"
"lapsang"	2	"lapsang"
"lard"	2	"lard"
"levain"	2	"levain"
"liptonâ"	2	"liptonâ"
"liquor"	2	"liquor"
"longgrain"	2	"longgrain"
"loos"	2	"loos"
"louisiana"	2	"louisiana"
"lumpia"	2	"lumpia"
"luncheon"	2	"luncheon"
"made"	2	"made"
"madeira"	2	"madeira"
"mahimahi"	2	"mahimahi"
"manischewitz"	2	"manischewitz"
"manzanilla"	2	"manzanilla"
"marnier"	2	"marnier"
"marron"	2	"marron"
"matcha"	2	"matcha"
"mazola"	2	"mazola"
"meatloaf"	2	"meatloaf"
"medal"	2	"medal"
"medjool"	2	"medjool"
"melt"	2	"melt"
"mesquit"	2	"mesquit"
"mexico"	2	"mexico"
"mignon"	2	"mignon"
"millet"	2	"millet"
"mincemeat"	2	"mincemeat"
"miner"	2	"miner"
"miniatur"	2	"miniatur"
"mixtur"	2	"mixtur"
"mizkan"	2	"mizkan"
"mms"	2	"mms"
"monkfish"	2	"monkfish"
"mountain"	2	"mountain"
"mouss"	2	"mouss"
"mrs"	2	"mrs"
"muenster"	2	"muenster"
"mullet"	2	"mullet"
"multigrain"	2	"multigrain"
"muscovado"	2	"muscovado"
"mussel"	2	"mussel"
"napa"	2	"napa"
"navi"	2	"navi"
"nocalori"	2	"nocalori"
"noir"	2	"noir"
"nondairi"	2	"nondairi"
"nosaltad"	2	"nosaltad"
"nugget"	2	"nugget"
"nutrit"	2	"nutrit"
"oldfashion"	2	"oldfashion"
"one"	2	"one"
"ovenreadi"	2	"ovenreadi"
"pace"	2	"pace"
"pale"	2	"pale"
"pam"	2	"pam"
"pan"	2	"pan"
"pandan"	2	"pandan"
"paneer"	2	"paneer"
"panela"	2	"panela"
"papaya"	2	"papaya"
"parma"	2	"parma"
"parmigiano"	2	"parmigiano"
"part"	2	"part"
"passion"	2	"passion"
"peasant"	2	"peasant"
"peperoncini"	2	"peperoncini"
"pepita"	2	"pepita"
"pepperidg"	2	"pepperidg"
"perch"	2	"perch"
"pernod"	2	"pernod"
"persimmon"	2	"persimmon"
"petal"	2	"petal"
"picant"	2	"picant"
"picholin"	2	"picholin"
"piecrust"	2	"piecrust"
"pillsburi"	2	"pillsburi"
"piment"	2	"piment"
"pimenton"	2	"pimenton"
"pippin"	2	"pippin"
"pisco"	2	"pisco"
"plantain"	2	"plantain"
"plus"	2	"plus"
"point"	2	"point"
"pop"	2	"pop"
"portobello"	2	"portobello"
"poultri"	2	"poultri"
"prego"	2	"prego"
"process"	2	"process"
"prosciutto"	2	"prosciutto"
"proscuitto"	2	"proscuitto"
"prosecco"	2	"prosecco"
"provolon"	2	"provolon"
"puy"	2	"puy"
"quail"	2	"quail"
"quarter"	2	"quarter"
"quinc"	2	"quinc"
"quorn"	2	"quorn"
"rack"	2	"rack"
"rasher"	2	"rasher"
"redfish"	2	"redfish"
"reducedsodium"	2	"reducedsodium"
"reggiano"	2	"reggiano"
"remoulad"	2	"remoulad"
"render"	2	"render"
"ribey"	2	"ribey"
"rich"	2	"rich"
"rigat"	2	"rigat"
"ripe"	2	"ripe"
"risotto"	2	"risotto"
"roquefort"	2	"roquefort"
"rosã"	2	"rosã"
"roughi"	2	"roughi"
"roux"	2	"roux"
"royal"	2	"royal"
"rubi"	2	"rubi"
"russet"	2	"russet"
"rustic"	2	"rustic"
"safflow"	2	"safflow"
"sago"	2	"sago"
"salata"	2	"salata"
"sangria"	2	"sangria"
"sardin"	2	"sardin"
"sashimi"	2	"sashimi"
"sauerkraut"	2	"sauerkraut"
"scallion"	2	"scallion"
"schmaltz"	2	"schmaltz"
"scrod"	2	"scrod"
"scrub"	2	"scrub"
"seamless"	2	"seamless"
"seawe"	2	"seawe"
"segment"	2	"segment"
"self"	2	"self"
"sevill"	2	"sevill"
"shanghai"	2	"shanghai"
"shaox"	2	"shaox"
"shark"	2	"shark"
"sherbet"	2	"sherbet"
"shiso"	2	"shiso"
"shoga"	2	"shoga"
"shortbread"	2	"shortbread"
"shoyu"	2	"shoyu"
"shuck"	2	"shuck"
"siu"	2	"siu"
"skate"	2	"skate"
"slider"	2	"slider"
"sliver"	2	"sliver"
"soften"	2	"soften"
"softshel"	2	"softshel"
"sorbet"	2	"sorbet"
"southern"	2	"southern"
"southwest"	2	"southwest"
"spaghettini"	2	"spaghettini"
"sparerib"	2	"sparerib"
"spear"	2	"spear"
"spong"	2	"spong"
"squeez"	2	"squeez"
"squid"	2	"squid"
"steelcut"	2	"steelcut"
"stilton"	2	"stilton"
"streaki"	2	"streaki"
"sturgeon"	2	"sturgeon"
"sub"	2	"sub"
"sucralos"	2	"sucralos"
"sun"	2	"sun"
"superfin"	2	"superfin"
"tabasco"	2	"tabasco"
"tagliatell"	2	"tagliatell"
"tahini"	2	"tahini"
"tamal"	2	"tamal"
"tapenad"	2	"tapenad"
"taro"	2	"taro"
"tater"	2	"tater"
"tatsoi"	2	"tatsoi"
"texa"	2	"texa"
"tikka"	2	"tikka"
"tilapia"	2	"tilapia"
"togarashi"	2	"togarashi"
"tomatillo"	2	"tomatillo"
"ton"	2	"ton"
"tot"	2	"tot"
"touch"	2	"touch"
"treacl"	2	"treacl"
"tree"	2	"tree"
"treviso"	2	"treviso"
"tripe"	2	"tripe"
"tritip"	2	"tritip"
"tropic"	2	"tropic"
"truvãaâ"	2	"truvãaâ"
"tuaca"	2	"tuaca"
"tube"	2	"tube"
"tumer"	2	"tumer"
"turbot"	2	"turbot"
"turtl"	2	"turtl"
"twist"	2	"twist"
"unbak"	2	"unbak"
"unbleach"	2	"unbleach"
"undilut"	2	"undilut"
"undrain"	2	"undrain"
"unflavor"	2	"unflavor"
"urad"	2	"urad"
"veri"	2	"veri"
"vidalia"	2	"vidalia"
"wagon"	2	"wagon"
"watercress"	2	"watercress"
"well"	2	"well"
"wesson"	2	"wesson"
"whiski"	2	"whiski"
"won"	2	"won"
"wondra"	2	"wondra"
"yellowfin"	2	"yellowfin"
"yellowtail"	2	"yellowtail"
"yoplaitâ"	2	"yoplaitâ"
"york"	2	"york"
"yucca"	2	"yucca"
"yukon"	2	"yukon"
"yuzu"	2	"yuzu"
"zinfandel"	2	"zinfandel"
"achiot"	3	"achiot"
"acid"	3	"acid"
"agar"	3	"agar"
"agav"	3	"agav"
"arbol"	3	"arbol"
"artisan"	3	"artisan"
"balanc"	3	"balanc"
"bartlett"	3	"bartlett"
"basmati"	3	"basmati"
"believ"	3	"believ"
"ben"	3	"ben"
"bertolliâ"	3	"bertolliâ"
"beverag"	3	"beverag"
"bisquick"	3	"bisquick"
"bit"	3	"bit"
"bittersweet"	3	"bittersweet"
"boston"	3	"boston"
"bouquet"	3	"bouquet"
"brioch"	3	"brioch"
"brisket"	3	"brisket"
"browni"	3	"browni"
"brussel"	3	"brussel"
"bud"	3	"bud"
"cabernet"	3	"cabernet"
"california"	3	"california"
"cant"	3	"cant"
"cap"	3	"cap"
"caper"	3	"caper"
"caraway"	3	"caraway"
"carbon"	3	"carbon"
"carn"	3	"carn"
"cassava"	3	"cassava"
"caster"	3	"caster"
"champagn"	3	"champagn"
"cheek"	3	"cheek"
"cheesi"	3	"cheesi"
"chickpea"	3	"chickpea"
"chilli"	3	"chilli"
"chrysanthemum"	3	"chrysanthemum"
"chutney"	3	"chutney"
"classic"	3	"classic"
"clementin"	3	"clementin"
"coke"	3	"coke"
"convert"	3	"convert"
"cornish"	3	"cornish"
"crabmeat"	3	"crabmeat"
"crisco"	3	"crisco"
"crispi"	3	"crispi"
"devein"	3	"devein"
"distil"	3	"distil"
"eel"	3	"eel"
"endiv"	3	"endiv"
"feet"	3	"feet"
"fenugreek"	3	"fenugreek"
"ferment"	3	"ferment"
"fiesta"	3	"fiesta"
"file"	3	"file"
"flax"	3	"flax"
"forest"	3	"forest"
"frambois"	3	"frambois"
"full"	3	"full"
"galang"	3	"galang"
"game"	3	"game"
"garam"	3	"garam"
"gin"	3	"gin"
"glutin"	3	"glutin"
"goos"	3	"goos"
"gorgonzola"	3	"gorgonzola"
"gourmet"	3	"gourmet"
"granular"	3	"granular"
"groat"	3	"groat"
"gyoza"	3	"gyoza"
"hair"	3	"hair"
"halibut"	3	"halibut"
"hamburg"	3	"hamburg"
"harissa"	3	"harissa"
"hash"	3	"hash"
"heirloom"	3	"heirloom"
"herdez"	3	"herdez"
"hoagi"	3	"hoagi"
"hock"	3	"hock"
"hoisin"	3	"hoisin"
"hous"	3	"hous"
"hungarian"	3	"hungarian"
"imit"	3	"imit"
"jello"	3	"jello"
"jimmi"	3	"jimmi"
"jus"	3	"jus"
"karo"	3	"karo"
"kelp"	3	"kelp"
"kewra"	3	"kewra"
"kikkoman"	3	"kikkoman"
"kiwi"	3	"kiwi"
"knudsen"	3	"knudsen"
"lasagn"	3	"lasagn"
"leftov"	3	"leftov"
"lower"	3	"lower"
"lowsodium"	3	"lowsodium"
"mackerel"	3	"mackerel"
"manchego"	3	"manchego"
"manicotti"	3	"manicotti"
"margarita"	3	"margarita"
"marjoram"	3	"marjoram"
"marmalad"	3	"marmalad"
"marzano"	3	"marzano"
"mayer"	3	"mayer"
"mayonnai"	3	"mayonnai"
"medallion"	3	"medallion"
"mein"	3	"mein"
"meringu"	3	"meringu"
"methi"	3	"methi"
"meyer"	3	"meyer"
"minut"	3	"minut"
"morsel"	3	"morsel"
"naan"	3	"naan"
"nacho"	3	"nacho"
"nam"	3	"nam"
"nuoc"	3	"nuoc"
"orzo"	3	"orzo"
"oscar"	3	"oscar"
"pancetta"	3	"pancetta"
"pancit"	3	"pancit"
"paper"	3	"paper"
"pappardell"	3	"pappardell"
"pecorino"	3	"pecorino"
"petit"	3	"petit"
"pillsburyâ„"	3	"pillsburyâ„"
"pinto"	3	"pinto"
"pocket"	3	"pocket"
"poi"	3	"poi"
"polenta"	3	"polenta"
"porcini"	3	"porcini"
"protein"	3	"protein"
"pumpernickel"	3	"pumpernickel"
"pumpkinse"	3	"pumpkinse"
"purpl"	3	"purpl"
"radicchio"	3	"radicchio"
"rang"	3	"rang"
"real"	3	"real"
"reducedfat"	3	"reducedfat"
"rin"	3	"rin"
"rise"	3	"rise"
"roe"	3	"roe"
"saltin"	3	"saltin"
"sambal"	3	"sambal"
"san"	3	"san"
"santa"	3	"santa"
"sargentoâ"	3	"sargentoâ"
"savori"	3	"savori"
"savoy"	3	"savoy"
"selfris"	3	"selfris"
"semi"	3	"semi"
"semolina"	3	"semolina"
"shallot"	3	"shallot"
"shave"	3	"shave"
"sichuan"	3	"sichuan"
"silver"	3	"silver"
"size"	3	"size"
"sole"	3	"sole"
"solid"	3	"solid"
"soya"	3	"soya"
"spelt"	3	"spelt"
"sprinkl"	3	"sprinkl"
"steam"	3	"steam"
"stevia"	3	"stevia"
"stone"	3	"stone"
"stonefir"	3	"stonefir"
"string"	3	"string"
"sugarcan"	3	"sugarcan"
"sumac"	3	"sumac"
"summer"	3	"summer"
"swordfish"	3	"swordfish"
"tail"	3	"tail"
"tangerin"	3	"tangerin"
"tartar"	3	"tartar"
"thread"	3	"thread"
